Date of Despatch,Industry,Customer ID,Sales Value
01/04/2007,SNG,Dakota Gasification Company,28139.00
01/04/2007,SNG,Dakota Gasification Company,28139.00
01/04/2007,SNG,Dakota Gasification Company,62162.00
01/04/2007,SNG,SG Chemical,36499.00
01/04/2007,RET,The Hong Kong & China Gas Co. Ltd,159825.00
01/04/2007,RER,GS Caltex Corporation,86535.00
01/04/2007,RER,GS Caltex Corporation,64516.00
01/04/2007,RER,GS Caltex Corporation,117827.00
01/04/2007,RER,GS Caltex Corporation,392756.00
01/04/2007,RER,GS Caltex Corporation,27791.00
01/04/2007,RER,GS Caltex Corporation,9202.00
01/04/2007,RER,GS Caltex Corporation,33455.00
01/04/2007,RER,GS Caltex Corporation,11160.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,30650.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,88809.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,72008.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,132014.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,16713.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,71854.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,2561.00
01/04/2007,RER,BP Oil Refineria de Castellon SA,2561.00
01/04/2007,RER,PCK Raffinerie GmbH,63888.00
01/04/2007,RER,Motor Oil (Hellas),15932.00
01/04/2007,RER,Motor Oil (Hellas),435068.00
01/04/2007,RER,S-Oil HMP1,41487.00
01/04/2007,RER,Slovnaft AS,76652.00
01/04/2007,RER,"Petroleos del Norte S,A.",99180.00
01/04/2007,RER,PETROPLUS Raffinerie,104193.00
01/04/2007,RER,PETROPLUS Raffinerie,814.00
01/04/2007,RER,PETROPLUS Raffinerie,2931.00
01/04/2007,RER,PETROPLUS Raffinerie,1085.00
01/04/2007,REP,"ConocoPhillips,  Inc.",678.00
01/04/2007,REO,L G Chemicals Naju,22716.00
01/04/2007,REI,Air Liquide,2100.00
01/04/2007,REI,Air Liquide,112990.00
01/04/2007,REI,Air Liquide,76737.00
01/04/2007,REI,Praxair Ontario Hydrogen Plant,14236.00
01/04/2007,REI,Praxair Ontario Hydrogen Plant,420.00
01/04/2007,REI,Praxair Ontario Hydrogen Plant,1008.00
01/04/2007,REI,SOL SpA,3760.00
